iter	Passed	Remaining
0	1	522
1	2	414
2	3	376
3	4	351
4	5	338
5	6	328
6	7	321
7	8	308
8	9	304
9	10	302
10	11	300
11	12	297
12	13	295
13	16	328
14	17	329
15	18	326
16	19	322
17	20	319
18	20	308
19	21	305
20	22	298
21	23	295
22	24	293
23	25	292
24	26	290
25	27	288
26	28	286
27	29	285
28	30	282
29	31	281
30	32	284
31	33	283
32	34	282
33	35	280
34	36	280
35	37	278
36	38	276
37	39	275
38	40	273
39	41	272
40	42	270
41	43	268
42	44	266
43	45	262
44	46	262
45	46	259
46	47	257
47	48	256
48	49	252
49	50	251
50	51	250
51	51	247
52	52	246
53	54	246
54	54	244
55	55	243
56	56	242
57	57	241
58	58	240
59	59	239
60	60	238
61	62	238
62	63	238
63	64	237
64	65	236
65	66	235
66	67	234
67	68	233
68	69	232
69	70	231
70	71	229
71	72	228
72	73	227
73	74	226
74	75	225
75	75	223
76	76	222
77	78	222
78	79	221
79	80	221
80	81	219
81	82	218
82	83	217
83	84	216
84	85	215
85	86	214
86	87	213
87	88	212
88	89	211
89	90	210
90	91	209
91	92	208
92	95	211
93	96	210
94	97	209
95	98	208
96	99	207
97	100	206
98	100	205
99	101	203
100	102	202
101	103	201
102	104	200
103	105	198
104	106	197
105	107	196
106	108	195
107	109	194
108	111	194
109	112	193
110	113	192
111	114	191
112	115	190
113	115	189
114	116	188
115	117	186
116	118	185
117	119	184
118	120	183
119	121	182
120	122	180
121	123	179
122	124	178
123	125	178
124	126	177
125	128	176
126	129	175
127	130	174
128	131	173
129	131	172
130	132	171
131	133	170
132	134	169
133	135	167
134	136	166
135	137	165
136	138	164
137	139	163
138	140	162
139	141	161
140	143	161
141	144	160
142	145	159
143	146	158
144	147	157
145	147	156
146	148	154
147	149	153
148	150	152
149	151	151
150	152	150
151	153	149
152	154	148
153	155	147
154	156	146
155	157	145
156	159	145
157	160	144
158	161	143
159	162	142
160	163	141
161	164	140
162	165	138
163	166	137
164	167	136
165	168	135
166	169	134
167	169	133
168	170	132
169	171	131
170	173	130
171	174	129
172	175	128
173	176	127
174	177	126
175	178	125
176	179	124
177	180	123
178	181	122
179	182	121
180	183	120
181	183	119
182	184	118
183	185	117
184	187	116
185	188	115
186	190	115
187	191	114
188	192	113
189	193	112
190	194	110
191	195	109
192	196	108
193	197	107
194	198	106
195	199	105
196	199	104
197	200	103
198	201	102
199	202	101
200	203	100
201	206	99
202	207	99
203	208	98
204	209	97
205	210	96
206	211	94
207	212	93
208	213	92
209	214	91
210	215	90
211	216	89
212	217	88
213	218	87
214	219	86
215	220	85
216	222	84
217	223	84
218	224	82
219	225	82
220	226	80
221	227	79
222	228	78
223	229	77
224	230	76
225	231	75
226	232	74
227	233	73
228	234	72
229	235	71
230	237	70
231	238	70
232	239	68
233	240	67
234	241	66
235	242	65
236	243	64
237	244	63
238	245	62
239	246	61
240	247	60
241	248	59
242	249	58
243	250	57
244	251	56
245	253	55
246	255	54
247	256	53
248	257	52
249	258	51
250	259	50
251	260	49
252	261	48
253	262	47
254	263	46
255	264	45
256	265	44
257	266	43
258	267	42
259	269	41
260	270	40
261	271	39
262	272	38
263	273	37
264	274	36
265	275	35
266	276	34
267	277	33
268	278	32
269	279	31
270	280	30
271	281	28
272	282	27
273	284	27
274	286	26
275	287	25
276	288	23
277	289	22
278	290	21
279	291	20
280	292	19
281	293	18
282	295	17
283	296	16
284	297	15
285	298	14
286	299	13
287	301	12
288	302	11
289	304	10
290	304	9
291	305	8
292	306	7
293	307	6
294	308	5
295	309	4
296	311	3
297	312	2
298	313	1
299	314	0
