feature,importance
LBXGH,0.6315
high_a1c,0.1588
LBXGLU,0.091
high_fasting_glucose,0.0315
RIDAGEYR,0.0247
BMXWAIST,0.0095
PAD680,0.0088
BPXOSY1,0.0068
BPXODI1,0.0068
INDFMPIR,0.0067
SLD013,0.0046
SLD012,0.0041
BMXHT,0.0032
BMXWT,0.0025
BMXBMI,0.0023
RIDRETH3_3.0,0.0019
physical_activity_level_moderado,0.0017
RIDRETH3_4.0,0.0011
RIDRETH3_1.0,0.0009
RIDRETH3_7.0,0.0008
income_group_income_3,0.0002
age_group_age_65_200,0.0002
age_group_age_45_64,0.0002
income_group_income_1,0.0001
RIDRETH3_2.0,0.0001
RIAGENDR,0.0
has_obesity,0.0
age_group_age_18_44,0.0
RIDRETH3_6.0,0.0
bmi_category_underweight,0.0
bmi_category_overweight,0.0
bmi_category_normal,0.0
income_group_income_0,0.0
income_group_income_2,0.0
physical_activity_level_activo,0.0
physical_activity_level_sedentario,0.0
sleep_risk_category_normal,0.0
